,Rank,Name,Link,Brand channel,Subscribers (millions),Primary language,Category,Country
0,1,T-Series,Link,Yes,238,Hindi[7][8],Music,India
1,2,Cocomelon,Link,Yes,155,English,Education,United States
2,3,Sony Entertainment Television India,Link,Yes,153,Hindi[9],Entertainment,India
3,4,MrBeast,Link,No,137,English,Entertainment,United States
4,5,PewDiePie,Link,No,111,English,Games,Sweden
5,6,Kids Diana Show,Link,Yes,109,English[10][11][12],Entertainment,Ukraine
6,7,Like Nastya,Link,No,105,English,Entertainment,United States
7,8,Vlad and Niki,Link,No,94.9,English,Entertainment,Russia
8,9,WWE,Link,Yes,93.8,English,Sports,United States
9,10,Zee Music Company,Link,Yes,93.4,Hindi[13][14],Music,India
10,11,Blackpink,Link,Yes,84.8,Korean,Music,South Korea
11,12,Goldmines,Link,Yes,83.3,Hindi,Film,India
12,13,5-Minute Crafts,Link,Yes,79.2,English,How-to,Cyprus[a]
13,14,Sony SAB,Link,Yes,78.2,Hindi,Entertainment,India
14,15,BangtanTV,Link,No,73.9,Korean,Music,South Korea
15,16,Justin Bieber,Link,No,71.1,English,Music,Canada
16,17,Hybe Labels,Link,Yes,69.5,Korean,Music,South Korea
17,18,Canal KondZilla,Link,Yes,66.4,Portuguese,Music,Brazil
18,19,Zee TV,Link,Yes,66.3,Hindi,Entertainment,India
19,20,Pinkfong,Link,Yes,66.1,English,Education,South Korea
20,21,Shemaroo Entertainment,Link,Yes,64.2,Hindi,Music,India
21,22,ChuChu TV,Link,Yes,63.2,Hindi[16],Education,India
22,23,Colors TV,Link,Yes,60.6,Hindi,Entertainment,India
23,24,Dude Perfect,Link,No,59,English,Sports,United States
24,25,Movieclips,Link,Yes,58.8,English,Film,United States
25,26,T-Series Bhakti Sagar,Link,Yes,58.4,Hindi,Music,India
26,27,Tips Industries,Link,Yes,57.3,Hindi,Entertainment,India
27,28,Wave Music,Link,Yes,56.6,Bhojpuri,Music,India
28,29,Marshmello,Link,No,56.2,English,Music,United States
29,30,Sony Music India,Link,Yes,56.1,Hindi,Music,India
30,31,El Reino Infantil,Link,Yes,56,Spanish,Music,Argentina
31,32,Aaj Tak,Link,Yes,55.9,Hindi,News,India
32,33,Eminem,Link,No,55.6,English,Music,United States
33,34,LooLoo Kids,Link,Yes,53.1,English,Music,Romania
34,35,Ed Sheeran,Link,No,53,English,Music,United Kingdom
35,36,Yash Raj Films,Link,Yes,52.7,Hindi,Music,India
36,37,Ariana Grande,Link,No,52.4,English,Music,United States
37,38,Taylor Swift,Link,No,51.1,English,Music,United States
38,39,BillionSurpriseToys,Link,Yes,50.6,English,Entertainment,United States
39,40,Infobells,Link,Yes,49.8,Hindi,Education,India
40,41,JuegaGerman,Link,No,47.6,Spanish,Games,Chile
41,42,Billie Eilish,Link,No,47.4,English,Music,United States
42,43,Badabun,Link,Yes,46.5,Spanish,Entertainment,Mexico
43,44,Fernanfloo,Link,No,45.7,Spanish,Games,El Salvador
44,45,Bad Bunny,Link,No,45.4,Spanish,Music,United States ( Puerto Rico)
45,46,SonyMusicIndiaVEVO,Link,Yes,45.4,Hindi,Music,India
46,47,Shemaroo,Link,Yes,45.2,Hindi,Entertainment,India
47,48,Get Movies,Link,Yes,45,Russian,Entertainment,Russia
48,49,Felipe Neto,Link,No,44.9,Portuguese,Entertainment,Brazil
49,50,A4,Link,No,44.6,Russian,Entertainment,Belarus
50,"As of March 14, 2023UTC","As of March 14, 2023UTC","As of March 14, 2023UTC","As of March 14, 2023UTC","As of March 14, 2023UTC","As of March 14, 2023UTC","As of March 14, 2023UTC","As of March 14, 2023UTC"
